Name	Year	Decade	Abilities	AbilitiesCount	Partnerships	PartnershipsCount	URL	ImageURL	localFilePath	NameCaps	PartnershipsCaps	AbilitiesCaps
Black Dragon Society	1942	1940		0		0	https://en.wikipedia.org/wiki/List_of_teams_and_organizations_in_DC_Comics	https://upload.wikimedia.org/wikipedia/en/2/2d/Bdsoslg.png	img.dc_chars/0.png	BLACK DRAGON SOCIETY		
Abin Sur	1959	1950	Green Lantern power ring	1		0	https://en.wikipedia.org/wiki/Abin_Sur	https://upload.wikimedia.org/wikipedia/en/thumb/2/26/Abin_Sur.png/250px-Abin_Sur.png	img.dc_chars/1.png	ABIN SUR		GREEN LANTERN POWER RING
Ace the Bat-Hound	1955	1950	Agility,Keen sense of smell	2		0	https://en.wikipedia.org/wiki/Ace_the_Bat-Hound	https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Ace_the_Bat-Hound.png/250px-Ace_the_Bat-Hound.png	img.dc_chars/2.png	ACE THE BAT-HOUND		AGILITY,KEEN SENSE OF SMELL
Ambush Bug	1982	1980	Teleportation,Green suit provides limited protection from some attacks,Fourth wall breaks	3		0	https://en.wikipedia.org/wiki/Ambush_Bug	https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Ambushbug-comic-.jpg/250px-Ambushbug-comic-.jpg	img.dc_chars/3.jpg	AMBUSH BUG		TELEPORTATION,GREEN SUIT PROVIDES LIMITED PROTECTION FROM SOME ATTACKS,FOURTH WALL BREAKS
Anarky	1989	1980	Expert strategist, tactician, and manipulator,Proficient engineer and inventor,Weapon/tool improvisation,Highly skilled martial artist,Trained computer scientist and hacker	5	Legs	1	https://en.wikipedia.org/wiki/Anarky	https://upload.wikimedia.org/wikipedia/en/4/4d/Anarky01.jpg	img.dc_chars/4.jpg	ANARKY	LEGS	EXPERT STRATEGIST, TACTICIAN, AND MANIPULATOR,PROFICIENT ENGINEER AND INVENTOR,WEAPON/TOOL IMPROVISATION,HIGHLY SKILLED MARTIAL ARTIST,TRAINED COMPUTER SCIENTIST AND HACKER
Apollo	1998	1990	Solar-based being capable of absorbing solar energy,converting it into immense physical strength,speed,release blasts of laser-like heat vision through his eyes,Regenerative  healing factor,Light manipulation,Invulnerability,Flight,Enhanced senses	9	Midnighter	1	https://en.wikipedia.org/wiki/Apollo_(DC_Comics)	https://upload.wikimedia.org/wikipedia/en/3/30/Apollox.jpg	img.dc_chars/5.jpg	APOLLO	MIDNIGHTER	SOLAR-BASED BEING CAPABLE OF ABSORBING SOLAR ENERGY,CONVERTING IT INTO IMMENSE PHYSICAL STRENGTH,SPEED,RELEASE BLASTS OF LASER-LIKE HEAT VISION THROUGH HIS EYES,REGENERATIVE  HEALING FACTOR,LIGHT MANIPULATION,INVULNERABILITY,FLIGHT,ENHANCED SENSES
Aqualad	1960	1960		0		0	https://en.wikipedia.org/wiki/Aqualad	https://None	N/A	AQUALAD		
Arak	1981	1980	Expert swordsman,archer,tracker,weather manipulation,earth manipulation,illusion casting,longevity,magic,marksmanship,wind bursts	10		0	https://en.wikipedia.org/wiki/Arak_(character)	https://upload.wikimedia.org/wikipedia/en/thumb/c/cd/Arakdcu0.jpg/250px-Arakdcu0.jpg	img.dc_chars/7.jpg	ARAK		EXPERT SWORDSMAN,ARCHER,TRACKER,WEATHER MANIPULATION,EARTH MANIPULATION,ILLUSION CASTING,LONGEVITY,MAGIC,MARKSMANSHIP,WIND BURSTS
Artemis of Bana-Mighdall	1994	1990	"Trained in high levels of hand-to-hand combat
Expertise in a wide array of weapons
Ageless
Superhuman strength, speed, durability, stamina, agility, reflexes
Self-sustenance
Some knowledge of low level sorceries
Fluent in demon language
Magic weapons: Gauntlets of Atlas, Sandals of Hermes, Armor of Shim'Tar,Trained in high levels of hand-to-hand combat,Expertise in a wide array of weapons,Ageless,Superhuman strength, speed, durability, stamina, agility, reflexes,Self-sustenance,Some knowledge of low level sorceries,Fluent in demon language,Magic weapons: Gauntlets of Atlas, Sandals of Hermes, Armor of Shim'Tar"	9	Wonder Woman,Red Hood,Bizarro	3	https://en.wikipedia.org/wiki/Artemis_of_Bana-Mighdall	https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/Artemis_of_Bana-Mighdall_%28circa_2022%29.png/250px-Artemis_of_Bana-Mighdall_%28circa_2022%29.png	img.dc_chars/8.png	ARTEMIS OF BANA-MIGHDALL	WONDER WOMAN,RED HOOD,BIZARRO	"TRAINED IN HIGH LEVELS OF HAND-TO-HAND COMBAT
EXPERTISE IN A WIDE ARRAY OF WEAPONS
AGELESS
SUPERHUMAN STRENGTH, SPEED, DURABILITY, STAMINA, AGILITY, REFLEXES
SELF-SUSTENANCE
SOME KNOWLEDGE OF LOW LEVEL SORCERIES
FLUENT IN DEMON LANGUAGE
MAGIC WEAPONS: GAUNTLETS OF ATLAS, SANDALS OF HERMES, ARMOR OF SHIM'TAR,TRAINED IN HIGH LEVELS OF HAND-TO-HAND COMBAT,EXPERTISE IN A WIDE ARRAY OF WEAPONS,AGELESS,SUPERHUMAN STRENGTH, SPEED, DURABILITY, STAMINA, AGILITY, REFLEXES,SELF-SUSTENANCE,SOME KNOWLEDGE OF LOW LEVEL SORCERIES,FLUENT IN DEMON LANGUAGE,MAGIC WEAPONS: GAUNTLETS OF ATLAS, SANDALS OF HERMES, ARMOR OF SHIM'TAR"
Atomic Knight	1960	1960	Precognition,Wears a suit of armor granting enhanced strength,speed,endurance,blasts of energy,as well as being adaptable to other technology	6		0	https://en.wikipedia.org/wiki/Atomic_Knight	https://upload.wikimedia.org/wikipedia/en/thumb/1/1c/Atomicknight.png/250px-Atomicknight.png	img.dc_chars/9.png	ATOMIC KNIGHT		PRECOGNITION,WEARS A SUIT OF ARMOR GRANTING ENHANCED STRENGTH,SPEED,ENDURANCE,BLASTS OF ENERGY,AS WELL AS BEING ADAPTABLE TO OTHER TECHNOLOGY
Aztek	1996	1990	Superhuman strength, speed, and hearing,X-ray vision,Flight,Invisibility,Plasma blasts,Body heat camouflage,Density shifting,Entrapment net generation	8		0	https://en.wikipedia.org/wiki/Aztek_(character)	https://upload.wikimedia.org/wikipedia/en/thumb/a/a2/Aztek_comic_cover.jpg/250px-Aztek_comic_cover.jpg	img.dc_chars/10.jpg	AZTEK		SUPERHUMAN STRENGTH, SPEED, AND HEARING,X-RAY VISION,FLIGHT,INVISIBILITY,PLASMA BLASTS,BODY HEAT CAMOUFLAGE,DENSITY SHIFTING,ENTRAPMENT NET GENERATION
B'wana Beast	1967	1960	Telepathic control over animals,Able to fuse two animals into a chimera,Superhuman strength, speed, endurance, and agility,Heightened senses,Experienced wrestler	5		0	https://en.wikipedia.org/wiki/B%27wana_Beast	https://upload.wikimedia.org/wikipedia/en/thumb/2/23/Bwanabeastdcu0.jpg/250px-Bwanabeastdcu0.jpg	img.dc_chars/11.jpg	B'WANA BEAST		TELEPATHIC CONTROL OVER ANIMALS,ABLE TO FUSE TWO ANIMALS INTO A CHIMERA,SUPERHUMAN STRENGTH, SPEED, ENDURANCE, AND AGILITY,HEIGHTENED SENSES,EXPERIENCED WRESTLER
Baron Bedlam	1983	1980	Superhuman strength, endurance, and durability,Flight,Lava blasts,Earth manipulation	4		0	https://en.wikipedia.org/wiki/Baron_Bedlam	https://upload.wikimedia.org/wikipedia/en/8/81/Badsamaritandcu0.jpg	img.dc_chars/12.jpg	BARON BEDLAM		SUPERHUMAN STRENGTH, ENDURANCE, AND DURABILITY,FLIGHT,LAVA BLASTS,EARTH MANIPULATION
Bat-Mite	1959	1950	Nigh-omnipotence,Reality warping,Immortality,Invulnerability,Fifth dimensional physiology,Advanced technology	6		0	https://en.wikipedia.org/wiki/Bat-Mite	https://upload.wikimedia.org/wikipedia/en/thumb/5/52/Bat-Mite.png/250px-Bat-Mite.png	img.dc_chars/13.png	BAT-MITE		NIGH-OMNIPOTENCE,REALITY WARPING,IMMORTALITY,INVULNERABILITY,FIFTH DIMENSIONAL PHYSIOLOGY,ADVANCED TECHNOLOGY
Batman	1939	1930	Genius-level intellect,Expert detective,Master martial artist and hand-to-hand combatant,Master tactician, strategist and field commander,Proficient in using high-tech equipment and weapons	5	Robin,Batgirl,Alfred Pennyworth,James Gordon,Superman,Wonder Woman,Catwoman	7	https://en.wikipedia.org/wiki/Batman	https://upload.wikimedia.org/wikipedia/en/c/c7/Batman_Infobox.jpg	img.dc_chars/14.jpg	BATMAN	ROBIN,BATGIRL,ALFRED PENNYWORTH,JAMES GORDON,SUPERMAN,WONDER WOMAN,CATWOMAN	GENIUS-LEVEL INTELLECT,EXPERT DETECTIVE,MASTER MARTIAL ARTIST AND HAND-TO-HAND COMBATANT,MASTER TACTICIAN, STRATEGIST AND FIELD COMMANDER,PROFICIENT IN USING HIGH-TECH EQUIPMENT AND WEAPONS
Thomas Wayne	1939	1930		0		0	https://en.wikipedia.org/wiki/Thomas_Wayne	https://upload.wikimedia.org/wikipedia/en/a/ad/Thomas_Wayne.png	img.dc_chars/15.png	THOMAS WAYNE		
Batman	1979	1970	Genius-level intellect, advanced hand-to-hand combat, marksman, and highly skilled  acrobat and gymnast.,Utilizes high-tech equipment and weapons	2	Katana,Tiffany Fox,The Signal	3	https://en.wikipedia.org/wiki/Batman_(Jace_Fox)	https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/I_Am_Batman_15.jpg/250px-I_Am_Batman_15.jpg	img.dc_chars/16.jpg	BATMAN	KATANA,TIFFANY FOX,THE SIGNAL	GENIUS-LEVEL INTELLECT, ADVANCED HAND-TO-HAND COMBAT, MARKSMAN, AND HIGHLY SKILLED  ACROBAT AND GYMNAST.,UTILIZES HIGH-TECH EQUIPMENT AND WEAPONS
